name,alt,kgm,h,b,tw,tf,r,profileCode,code,localIndex
IPE 80 AA,IPE AA 80,4.9,78,46,3.2,4.2,5,IPE,EN10365,0
IPE 80 A,IPE A 80,5,78,46,3.3,4.2,5,IPE,EN10365,1
IPE 80,,6,80,46,3.8,5.2,5,IPE,EN10365,2
IPE 100 AA,IPE AA 100,6.7,97.6,55,3.6,4.5,7,IPE,EN10365,3
IPE 100 A,IPE A 100,6.9,98,55,3.6,4.7,7,IPE,EN10365,4
IPE 100,,8.1,100,55,4.1,5.7,7,IPE,EN10365,5
IPE 120 AA,IPE AA 120,8.4,117,64,3.8,4.8,7,IPE,EN10365,6
IPE 120 A,IPE A 120,8.7,117.6,64,3.8,5.1,7,IPE,EN10365,7
IPE 120,,10.4,120,64,4.4,6.3,7,IPE,EN10365,8
IPE 140 AA,IPE AA 140,10.1,136.6,73,3.8,5.2,7,IPE,EN10365,9
IPE 140 A,IPE A 140,10.5,137.4,73,3.8,5.6,7,IPE,EN10365,10
IPE 140,,12.9,140,73,4.7,6.9,7,IPE,EN10365,11
IPE 160 AA,IPE AA 160,12.3,156.4,82,4,5.6,7,IPE,EN10365,12
IPE 160 A,IPE A 160,12.7,157,82,4,5.9,9,IPE,EN10365,13
IPE 160,,15.8,160,82,5,7.4,9,IPE,EN10365,14
IPE 180 AA,IPE AA 180,14.9,176.4,91,4.3,6.2,9,IPE,EN10365,15
IPE 180 A,IPE A 180,15.4,177,91,4.3,6.5,9,IPE,EN10365,16
IPE 180,,18.8,180,91,5.3,8,9,IPE,EN10365,17
IPE 180 O,IPE O 180,21.3,182,92,6,9,9,IPE,EN10365,18
IPE 200 AA,IPE AA 200,18,196.4,100,4.5,6.7,12,IPE,EN10365,19
IPE 200 A,IPE A 200,18.4,197,100,4.5,7,12,IPE,EN10365,20
IPE 200,,22.4,200,100,5.6,8.5,12,IPE,EN10365,21
IPE 200 O,IPE O 200,25.1,202,102,6.2,9.5,12,IPE,EN10365,22
IPE 220 AA,IPE AA 220,21.2,216.4,110,4.7,7.4,12,IPE,EN10365,23
IPE 220 A,IPE A 220,22.2,217,110,5,7.7,12,IPE,EN10365,24
IPE 220,,26.2,220,110,5.9,9.2,12,IPE,EN10365,25
IPE 220 O,IPE O 220,29.4,222,112,6.6,10.2,12,IPE,EN10365,26
IPE 240 AA,IPE AA 240,24.9,236.4,120,4.8,8,15,IPE,EN10365,27
IPE 240 A,IPE A 240,26.2,237,120,5.2,8.3,15,IPE,EN10365,28
IPE 240,,30.7,240,120,6.2,9.8,15,IPE,EN10365,29
IPE 240 O,IPE O 240,34.3,242,122,7,10.8,15,IPE,EN10365,30
IPE 270 A,IPE A 270,30.7,267,135,5.5,8.7,15,IPE,EN10365,31
IPE 270,,36.1,270,135,6.6,10.2,15,IPE,EN10365,32
IPE 270 O,IPE O 270,42.3,274,136,7.5,12.2,15,IPE,EN10365,33
IPE 300 A,IPE A 300,36.5,297,150,6.1,9.2,15,IPE,EN10365,34
IPE 300,,42.2,300,150,7.1,10.7,15,IPE,EN10365,35
IPE 300 O,IPE O 300,49.3,304,152,8,12.7,15,IPE,EN10365,36
IPE 330 A,IPE A 330,43,327,160,6.5,10,18,IPE,EN10365,37
IPE 330,,49.1,330,160,7.5,11.5,18,IPE,EN10365,38
IPE 330 O,IPE O 330,57,334,162,8.5,13.5,18,IPE,EN10365,39
IPE 360 A,IPE A 360,50.2,357.6,170,6.6,11.5,18,IPE,EN10365,40
IPE 360,,57.1,360,170,8,12.7,18,IPE,EN10365,41
IPE 360 O,IPE O 360,66,364,172,9.2,14.7,18,IPE,EN10365,42
IPE 400 A,IPE A 400,57.4,397,180,7,12,21,IPE,EN10365,43
IPE 400,,66.3,400,180,8.6,13.5,21,IPE,EN10365,44
IPE 400 O,IPE O 400,75.7,404,182,9.7,15.5,21,IPE,EN10365,45
IPE 400 V,IPE V 400,84,408,182,10.6,17.5,21,IPE,EN10365,46
IPE 450 A,IPE A 450,67.2,447,190,7.6,13.1,21,IPE,EN10365,47
IPE 450,,77.6,450,190,9.4,14.6,21,IPE,EN10365,48
IPE 450 O,IPE O 450,92.4,456,192,11,17.6,21,IPE,EN10365,49
IPE 450 V,IPE V 450,107,460,194,12.4,19.6,21,IPE,EN10365,50
IPE 500 A,IPE A 500,79.4,497,200,8.4,14.5,21,IPE,EN10365,51
IPE 500,,90.7,500,200,10.2,16,21,IPE,EN10365,52
IPE 500 O,IPE O 500,107,506,202,12,19,21,IPE,EN10365,53
IPE 500 V,IPE V 500,129,514,204,14.2,23,21,IPE,EN10365,54
IPE 550 A,IPE A 550,92.1,547,210,9,15.7,24,IPE,EN10365,55
IPE 550,,106,550,210,11.1,17.2,24,IPE,EN10365,56
IPE 550 O,IPE O 550,123,556,212,12.7,20.2,24,IPE,EN10365,57
IPE 550 V,IPE V 550,159,566,216,17.1,25.2,24,IPE,EN10365,58
IPE 600 A,IPE A 600,108,597,220,9.8,17.5,24,IPE,EN10365,59
IPE 600,,122,600,220,12,19,24,IPE,EN10365,60
IPE 600 O,IPE O 600,154,610,224,15,24,24,IPE,EN10365,61
IPE 600 V,IPE V 600,184,618,228,18,28,24,IPE,EN10365,62
IPE 750X134,,134,750,264,12,15.5,17,IPE,EN10365,63
IPE 750X147,,147,753,265,13.2,17,17,IPE,EN10365,64
IPE 750X173,,173,762,267,14.4,21.6,17,IPE,EN10365,65
IPE 750X196,,196,770,268,15.6,25.4,17,IPE,EN10365,66
HE 100 AA,HE AA 100,12.2,91,100,4.2,5.5,12,HE,EN10365,0
HE 100 A,HE A 100,16.7,96,100,5,8,12,HE,EN10365,1
HE 100 B,HE B 100,20.4,100,100,6,10,12,HE,EN10365,2
HE 100 C,HE C 100,30.9,110,103,9,15,12,HE,EN10365,3
HE 100 M,HE M 100,41.8,120,106,12,20,12,HE,EN10365,4
HE 120 AA,HE AA 120,14.6,109,120,4.2,5.5,12,HE,EN10365,5
HE 120 A,HE A 120,19.9,114,120,5,8,12,HE,EN10365,6
HE 120 B,HE B 120,26.7,120,120,6.5,11,12,HE,EN10365,7
HE 120 C,HE C 120,39.2,130,123,9.5,16,12,HE,EN10365,8
HE 120 M,HE M 120,52.1,140,126,12.5,21,12,HE,EN10365,9
HE 140 AA,HE AA 140,18.1,128,140,4.3,6,12,HE,EN10365,10
HE 140 A,HE A 140,24.7,133,140,5.5,8.5,12,HE,EN10365,11
HE 140 B,HE B 140,33.7,140,140,7,12,12,HE,EN10365,12
HE 140 C,HE C 140,48.2,150,143,10,17,12,HE,EN10365,13
HE 140 M,HE M 140,63.2,160,146,13,22,12,HE,EN10365,14
HE 160 AA,HE AA 160,23.8,148,160,4.5,7,15,HE,EN10365,15
HE 160 A,HE A 160,30.4,152,160,6,9,15,HE,EN10365,16
HE 160 B,HE B 160,42.6,160,160,8,13,15,HE,EN10365,17
HE 160 C,HE C 160,59.2,170,163,11,18,15,HE,EN10365,18
HE 160 M,HE M 160,76.2,180,166,14,23,15,HE,EN10365,19
HE 180 AA,HE AA 180,28.7,167,180,5,7.5,15,HE,EN10365,20
HE 180 A,HE A 180,35.5,171,180,6,9.5,15,HE,EN10365,21
HE 180 B,HE B 180,51.2,180,180,8.5,14,15,HE,EN10365,22
HE 180 C,HE C 180,69.8,190,183,11.5,19,15,HE,EN10365,23
HE 180 M,HE M 180,88.9,200,186,14.5,24,15,HE,EN10365,24
HE 200 AA,HE AA 200,34.6,186,200,5.5,8,18,HE,EN10365,25
HE 200 A,HE A 200,42.3,190,200,6.5,10,18,HE,EN10365,26
HE 200 B,HE B 200,61.3,200,200,9,15,18,HE,EN10365,27
HE 200 C,HE C 200,81.9,210,203,12,20,18,HE,EN10365,28
HE 200 M,HE M 200,103,220,206,15,25,18,HE,EN10365,29
HE 220 AA,HE AA 220,40.4,205,220,6,8.5,18,HE,EN10365,30
HE 220 A,HE A 220,50.5,210,220,7,11,18,HE,EN10365,31
HE 220 B,HE B 220,71.5,220,220,9.5,16,18,HE,EN10365,32
HE 220 C,HE C 220,94.1,230,223,12.5,21,18,HE,EN10365,33
HE 220 M,HE M 220,117,240,226,15.5,26,18,HE,EN10365,34
HE 240 AA,HE AA 240,47.4,224,240,6.5,9,21,HE,EN10365,35
HE 240 A,HE A 240,60.3,230,240,7.5,12,21,HE,EN10365,36
HE 240 B,HE B 240,83.2,240,240,10,17,21,HE,EN10365,37
HE 240 C,HE C 240,119,255,244,14,24.5,24,HE,EN10365,38
HE 240 M,HE M 240,157,270,248,18,32,21,HE,EN10365,39
HE 260 AA,HE AA 260,54.1,244,260,6.5,9.5,24,HE,EN10365,40
HE 260 A,HE A 260,68.2,250,260,7.5,12.5,24,HE,EN10365,41
HE 260 B,HE B 260,93,260,260,10,17.5,24,HE,EN10365,42
HE 260 C,HE C 260,132,275,264,14,25,24,HE,EN10365,43
HE 260 M,HE M 260,172,290,268,18,32.5,24,HE,EN10365,44
HE 280 AA,HE AA 280,61.2,264,280,7,10,24,HE,EN10365,45
HE 280 A,HE A 280,76.4,270,280,8,13,24,HE,EN10365,46
HE 280 B,HE B 280,103,280,280,10.5,18,24,HE,EN10365,47
HE 280 C,HE C 280,145,295,284,14.5,25.5,24,HE,EN10365,48
HE 280 M,HE M 280,189,310,288,18.5,33,24,HE,EN10365,49
HE 300 AA,HE AA 300,69.8,283,300,7.5,10.5,27,HE,EN10365,50
HE 300 A,HE A 300,88.3,290,300,8.5,14,27,HE,EN10365,51
HE 300 B,HE B 300,117,300,300,11,19,27,HE,EN10365,52
HE 300 C,HE C 300,177,320,305,16,29,30,HE,EN10365,53
HE 300 M,HE M 300,238,340,310,21,39,27,HE,EN10365,54
HE 320 AA,HE AA 320,74.2,301,300,8,11,27,HE,EN10365,55
HE 320 A,HE A 320,97.6,310,300,9,15.5,27,HE,EN10365,56
HE 320 B,HE B 320,127,320,300,11.5,20.5,27,HE,EN10365,57
HE 320 C,HE C 320,186,340,305,16,30.5,30,HE,EN10365,58
HE 320 M,HE M 320,245,359,309,21,40,27,HE,EN10365,59
HE 340 AA,HE AA 340,78.9,320,300,8.5,11.5,27,HE,EN10365,60
HE 340 A,HE A 340,105,330,300,9.5,16.5,27,HE,EN10365,61
HE 340 B,HE B 340,134,340,300,12,21.5,27,HE,EN10365,62
HE 340 M,HE M 340,248,377,309,21,40,27,HE,EN10365,63
HE 360 AA,HE AA 360,83.7,339,300,9,12,27,HE,EN10365,64
HE 360 A,HE A 360,112,350,300,10,17.5,27,HE,EN10365,65
HE 360 B,HE B 360,142,360,300,12.5,22.5,27,HE,EN10365,66
HE 360 M,HE M 360,250,395,308,21,40,27,HE,EN10365,67
HE 400 AA,HE AA 400,92.4,378,300,9.5,13,27,HE,EN10365,68
HE 400 A,HE A 400,125,390,300,11,19,27,HE,EN10365,69
HE 400 B,HE B 400,155,400,300,13.5,24,27,HE,EN10365,70
HE 400 M,HE M 400,256,432,307,21,40,27,HE,EN10365,71
HE 450 AA,HE AA 450,99.7,425,300,10,13.5,27,HE,EN10365,72
HE 450 A,HE A 450,140,440,300,11.5,21,27,HE,EN10365,73
HE 450 B,HE B 450,171,450,300,14,26,27,HE,EN10365,74
HE 450 M,HE M 450,263,478,307,21,40,27,HE,EN10365,75
HE 500 AA,HE AA 500,107,472,300,10.5,14,27,HE,EN10365,76
HE 500 A,HE A 500,155,490,300,12,23,27,HE,EN10365,77
HE 500 B,HE B 500,187,500,300,14.5,28,27,HE,EN10365,78
HE 500 M,HE M 500,270,524,306,21,40,27,HE,EN10365,79
HE 550 AA,HE AA 550,120,522,300,11.5,15,27,HE,EN10365,80
HE 550 A,HE A 550,166,540,300,12.5,24,27,HE,EN10365,81
HE 550 B,HE B 550,199,550,300,15,29,27,HE,EN10365,82
HE 550 M,HE M 550,278,572,306,21,40,27,HE,EN10365,83
HE 600 AA,HE AA 600,129,571,300,12,15.5,27,HE,EN10365,84
HE 600 A,HE A 600,178,590,300,13,25,27,HE,EN10365,85
HE 600 B,HE B 600,212,600,300,15.5,30,27,HE,EN10365,86
HE 600 M,HE M 600,285,620,305,21,40,27,HE,EN10365,87
HE 600X337,,337,632,310,25.5,46,27,HE,EN10365,88
HE 600X399,,399,648,315,30,54,27,HE,EN10365,89
HE 650 AA,HE AA 650,138,620,300,12.5,16,27,HE,EN10365,90
HE 650 A,HE A 650,190,640,300,13.5,26,27,HE,EN10365,91
HE 650 B,HE B 650,225,650,300,16,31,27,HE,EN10365,92
HE 650 M,HE M 650,293,668,305,21,40,27,HE,EN10365,93
HE 650X343,,343,680,309,25,46,27,HE,EN10365,94
HE 650X407,,407,696,314,29.5,54,27,HE,EN10365,95
HE 700 AA,HE AA 700,150,670,300,13,17,27,HE,EN10365,96
HE 700 A,HE A 700,204,690,300,14.5,27,27,HE,EN10365,97
HE 700 B,HE B 700,241,700,300,17,32,27,HE,EN10365,98
HE 700 M,HE M 700,301,716,304,21,40,27,HE,EN10365,99
HE 700X352,,352,728,308,25,46,27,HE,EN10365,100
HE 700X418,,418,744,313,29.5,54,27,HE,EN10365,101
HE 800 AA,HE AA 800,172,770,300,14,18,30,HE,EN10365,102
HE 800 A,HE A 800,224,790,300,15,28,30,HE,EN10365,103
HE 800 B,HE B 800,262,800,300,17.5,33,30,HE,EN10365,104
HE 800 M,HE M 800,317,814,303,21,40,30,HE,EN10365,105
HE 900 AA,HE AA 900,198,870,300,15,20,30,HE,EN10365,106
HE 900 A,HE A 900,252,890,300,16,30,30,HE,EN10365,107
HE 900 B,HE B 900,291,900,300,18.5,35,30,HE,EN10365,108
HE 900 M,HE M 900,333,910,302,21,40,30,HE,EN10365,109
HE 1000 AA,HE AA 1000,222,970,300,16,21,30,HE,EN10365,110
HE 1000 A,HE A 1000,272,990,300,16.5,31,30,HE,EN10365,111
HE 1000 B,HE B 1000,314,1000,300,19,36,30,HE,EN10365,112
HE 1000 M,HE M 1000,349,1008,302,21,40,30,HE,EN10365,113
M 3X2.9,,4.3,76,57,2.3,3.3,0,M,ASTM,0
M 4X3.2,,4.8,102,57,2.3,3.3,0,M,ASTM,1
M 4X3.45,,5.1,102,57,2.8,3.3,0,M,ASTM,2
M 4X4.08,,6.1,102,57,2.9,4.3,0,M,ASTM,3
M 4X6,,8.9,97,97,3.3,4.1,0,M,ASTM,4
M 5X18.9,,28.1,127,127,8,10.6,0,M,ASTM,5
M 6X3.7,,5.5,150,51,2.5,3.3,0,M,ASTM,6
M 6X4.4,,6.6,152,47,2.9,4.3,0,M,ASTM,7
M 8X6.2,,9.2,203,58,3.3,4.5,0,M,ASTM,8
M 8X6.5,,9.7,203,57,3.4,4.8,0,M,ASTM,9
M 10X7.5,,11.2,253,68,3.3,4.4,0,M,ASTM,10
M 10X8,,11.9,253,68,4,5.2,0,M,ASTM,11
M 10X9,,13.4,254,68,3.6,4.6,0,M,ASTM,12
M 12X10,,14.9,304,83,3.8,4.6,0,M,ASTM,13
M 12X10.8,,16.1,304,78,4.1,5.3,0,M,ASTM,14
M 12X11.8,,17.6,305,78,4.5,5.7,0,M,ASTM,15
M 12.5X11.6,,17.3,317,89,3.9,5.4,0,M,ASTM,16
M 12.5X12.4,,18.5,318,95,3.9,5.8,0,M,ASTM,17
W 4X13,,19.3,106,103,7.1,8.8,6.3,W,ASTM,0
W 5X16,,23.8,127,127,6.1,9.1,7.6,W,ASTM,1
W 5X19,,28.1,131,128,6.9,10.9,7.6,W,ASTM,2
W 6X8.5,,13,148,100,4.3,4.9,6,W,ASTM,3
W 6X9,,13.5,150,100,4.3,5.5,6,W,ASTM,4
W 6X12,,18,153,102,5.8,7.1,6,W,ASTM,5
W 6X15,,22.5,152,152,5.8,6.6,6,W,ASTM,6
W 6X16,,24,160,102,6.6,10.3,6,W,ASTM,7
W 6X20,,29.8,157,153,6.6,9.3,6,W,ASTM,8
W 6X25,,37.1,162,154,8.1,11.6,8,W,ASTM,9
W 8X10,,15,200,100,4.3,5.2,7.6,W,ASTM,10
W 8X13,,19.3,203,102,5.8,6.5,7.6,W,ASTM,11
W 8X15,,22.5,206,102,6.2,8,7.6,W,ASTM,12
W 8X18,,26.6,207,133,5.8,8.4,7.6,W,ASTM,13
W 8X21,,31.3,210,134,6.4,10.2,7.6,W,ASTM,14
W 8X24,,35.9,201,165,6.2,10.2,10,W,ASTM,15
W 8X28,,41.7,205,166,7.2,11.8,10,W,ASTM,16
W 8X31,,46.1,203,203,7.2,11,10,W,ASTM,17
W 8X35,,52,206,204,7.9,12.6,10,W,ASTM,18
W 8X40,,59,210,205,9.1,14.2,10,W,ASTM,19
W 8X48,,71,216,206,10.2,17.4,10,W,ASTM,20
W 8X58,,86,222,209,13,20.6,10,W,ASTM,21
W 8X67,,100,229,210,14.5,23.7,10,W,ASTM,22
W 10X12,,17.9,251,101,4.8,5.3,8,W,ASTM,23
W 10X15,,22.3,254,102,5.8,6.9,8,W,ASTM,24
W 10X17,,25.3,257,102,6.1,8.4,8,W,ASTM,25
W 10X19,,28.4,260,102,6.4,10,8,W,ASTM,26
W 10X22,,32.7,258,146,6.1,9.1,8,W,ASTM,27
W 10X26,,38.5,262,147,6.6,11.2,8,W,ASTM,28
W 10X30,,44.8,266,148,7.6,13,8,W,ASTM,29
W 10X33,,49.1,247,202,7.4,11,13,W,ASTM,30
W 10X39,,58,252,203,8,13.5,13,W,ASTM,31
W 10X45,,67,257,204,8.9,15.7,13,W,ASTM,32
W 10X49,,73,253,254,8.6,14.2,13,W,ASTM,33
W 10X54,,80,256,255,9.4,15.6,13,W,ASTM,34
W 10X60,,89,260,256,10.7,17.3,13,W,ASTM,35
W 10X68,,101,264,257,11.9,19.6,13,W,ASTM,36
W 10X77,,115,269,259,13.5,22.1,13,W,ASTM,37
W 10X88,,131,275,261,15.4,25.1,13,W,ASTM,38
W 10X100,,149,282,263,17.3,28.4,13,W,ASTM,39
W 10X112,,167,289,265,19.2,31.8,13,W,ASTM,40
W 12X14,,21,303,101,5.1,5.7,8,W,ASTM,41
W 12X16,,23.8,305,101,5.6,6.7,8,W,ASTM,42
W 12X19,,28.3,309,102,6,8.9,8,W,ASTM,43
W 12X22,,32.7,313,102,6.6,10.8,8,W,ASTM,44
W 12X26,,38.7,310,165,5.8,9.7,8,W,ASTM,45
W 12X30,,44.5,313,166,6.6,11.2,8,W,ASTM,46
W 12X35,,52,317,167,7.6,13.2,8,W,ASTM,47
W 12X40,,60,303,203,7.5,13.1,15,W,ASTM,48
W 12X45,,67,306,204,8.5,14.6,15,W,ASTM,49
W 12X50,,74,310,205,9.4,16.3,15,W,ASTM,50
W 12X53,,79,306,254,8.8,14.6,15,W,ASTM,51
W 12X58,,86,310,254,9.1,16.3,15,W,ASTM,52
W 12X65,,97,308,305,9.9,15.4,15,W,ASTM,53
W 12X72,,107,311,306,10.9,17,15,W,ASTM,54
W 12X79,,117,314,307,11.9,18.7,15,W,ASTM,55
W 12X87,,129,318,308,13.1,20.6,15,W,ASTM,56
W 12X96,,143,323,309,14,22.9,15,W,ASTM,57
W 12X106,,158,327,310,15.5,25.1,15,W,ASTM,58
W 12X120,,179,333,313,18,28.1,15,W,ASTM,59
W 12X136,,202,341,315,20.1,31.8,15,W,ASTM,60
W 12X152,,226,348,317,22.1,35.6,15,W,ASTM,61
W 12X170,,253,356,319,24.4,39.6,15,W,ASTM,62
W 12X190,,283,365,322,26.9,44.1,15,W,ASTM,63
W 12X210,,313,374,325,30,48.3,15,W,ASTM,64
W 12X230,,342,382,328,32.6,52.6,15,W,ASTM,65
W 12X252,,375,391,330,35.4,57.2,15,W,ASTM,66
W 12X279,,415,403,334,38.9,62.7,15,W,ASTM,67
W 12X305,,454,415,336,41.3,68.7,15,W,ASTM,68
W 12X336,,500,427,340,45.1,75.1,15,W,ASTM,69
W 14X22,,32.9,349,127,5.8,8.5,10,W,ASTM,70
W 14X26,,39,353,128,6.5,10.7,10,W,ASTM,71
W 14X30,,44.6,352,171,6.9,9.8,10,W,ASTM,72
W 14X34,,51,355,171,7.2,11.6,10,W,ASTM,73
W 14X38,,58,358,172,7.9,13.1,10,W,ASTM,74
W 14X43,,64,347,203,7.7,13.5,15,W,ASTM,75
W 14X48,,72,350,204,8.6,15.1,15,W,ASTM,76
W 14X53,,79,354,205,9.4,16.8,15,W,ASTM,77
W 14X61,,91,353,254,9.5,16.4,15,W,ASTM,78
W 14X68,,101,357,255,10.5,18.3,15,W,ASTM,79
W 14X74,,110,360,256,11.4,19.9,15,W,ASTM,80
W 14X82,,122,363,257,13,21.7,15,W,ASTM,81
W 14X90,,134,356,369,11.2,18,15,W,ASTM,82
W 14X99,,147,360,370,12.3,19.8,15,W,ASTM,83
W 14X109,,162,364,371,13.3,21.8,15,W,ASTM,84
W 14X120,,179,368,373,15,23.9,15,W,ASTM,85
W 14X132,,196,372,374,16.4,26.2,15,W,ASTM,86
W 14X145,,216,375,394,17.3,27.7,15,W,ASTM,87
W 14X159,,237,380,395,18.9,30.2,15,W,ASTM,88
W 14X176,,262,387,398,21.1,33.3,15,W,ASTM,89
W 14X193,,287,393,399,22.6,36.6,15,W,ASTM,90
W 14X211,,314,399,401,24.9,39.6,15,W,ASTM,91
W 14X233,,347,407,404,27.2,43.7,15,W,ASTM,92
W 14X257,,382,416,406,29.8,48,15,W,ASTM,93
W 14X283,,421,425,409,32.8,52.6,15,W,ASTM,94
W 14X311,,463,435,412,35.8,57.4,15,W,ASTM,95
W 14X342,,509,446,416,39.1,62.7,15,W,ASTM,96
W 14X370,,551,455,418,42,67.6,15,W,ASTM,97
W 14X398,,592,465,421,45,72.3,15,W,ASTM,98
W 14X426,,634,474,424,47.6,77.1,15,W,ASTM,99
W 14X455,,677,483,428,51.2,81.5,15,W,ASTM,100
W 14X500,,744,498,432,55.6,88.9,15,W,ASTM,101
W 14X550,,818,514,437,60.5,97,15,W,ASTM,102
W 14X605,,900,531,442,65.9,106,15,W,ASTM,103
W 14X665,,990,550,448,71.9,115,15,W,ASTM,104
W 14X730,,1086,569,454,78,125,15,W,ASTM,105
W 14X808,,1202,580,471,95,130,15,W,ASTM,106
W 14X873,,1299,600,476,100,140,15,W,ASTM,107
W 16X26,,38.8,399,140,6.4,8.8,10.2,W,ASTM,108
W 16X31,,46.1,403,140,7,11.2,10.2,W,ASTM,109
W 16X36,,53,403,177,7.5,10.9,10.2,W,ASTM,110
W 16X40,,60,407,178,7.7,12.8,10.2,W,ASTM,111
W 16X45,,67,410,179,8.8,14.4,10.2,W,ASTM,112
W 16X50,,75,413,180,9.7,16,10.2,W,ASTM,113
W 16X57,,85,417,181,10.9,18.2,10.2,W,ASTM,114
W 16X67,,100,415,260,10,16.9,10.2,W,ASTM,115
W 16X77,,114,420,261,11.6,19.3,10.2,W,ASTM,116
W 16X89,,132,425,263,13.3,22.2,10.2,W,ASTM,117
W 16X100,,149,431,265,14.9,25,10.2,W,ASTM,118
W 18X35,,52,450,152,7.6,10.8,10.2,W,ASTM,119
W 18X40,,60,455,153,8,13.3,10.2,W,ASTM,120
W 18X46,,68,459,154,9.1,15.4,10.2,W,ASTM,121
W 18X50,,74,457,190,9,14.5,10.2,W,ASTM,122
W 18X55,,82,460,191,9.9,16,10.2,W,ASTM,123
W 18X60,,89,463,192,10.5,17.7,10.2,W,ASTM,124
W 18X65,,97,466,193,11.4,19,10.2,W,ASTM,125
W 18X71,,106,469,194,12.6,20.6,10.2,W,ASTM,126
W 18X76,,113,463,280,10.8,17.3,10.2,W,ASTM,127
W 18X86,,128,467,282,12.2,19.6,10.2,W,ASTM,128
W 18X97,,144,472,283,13.6,22.1,10.2,W,ASTM,129
W 18X106,,158,476,284,15,23.9,10.2,W,ASTM,130
W 18X119,,177,482,286,16.6,26.9,10.2,W,ASTM,131
W 18X130,,193,489,283,17,30.5,10.2,W,ASTM,132
W 18X143,,213,495,285,18.5,33.5,10.2,W,ASTM,133
W 18X158,,235,501,287,20.6,36.6,10.2,W,ASTM,134
W 18X175,,260,509,289,22.6,40.4,10.2,W,ASTM,135
W 18X192,,286,517,291,24.4,44.4,10.2,W,ASTM,136
W 18X211,,315,525,293,26.9,48.5,10.2,W,ASTM,137
W 18X234,,349,535,296,29.5,53.6,10.2,W,ASTM,138
W 18X258,,384,545,299,32.5,58.4,10.2,W,ASTM,139
W 18X283,,421,555,302,35.6,63.5,12.7,W,ASTM,140
W 18X311,,464,567,305,38.6,69.6,12.7,W,ASTM,141
W 21X44,,66,525,165,8.9,11.4,13,W,ASTM,142
W 21X48,,72,524,207,9,10.9,13,W,ASTM,143
W 21X50,,74,529,166,9.7,13.6,13,W,ASTM,144
W 21X55,,82,528,209,9.5,13.3,13,W,ASTM,145
W 21X57,,85,535,166,10.3,16.5,13,W,ASTM,146
W 21X62,,92,533,209,10.2,15.6,13,W,ASTM,147
W 21X68,,101,537,210,10.9,17.4,13,W,ASTM,148
W 21X73,,109,539,211,11.6,18.8,13,W,ASTM,149
W 21X83,,123,544,212,13.1,21.2,13,W,ASTM,150
W 21X93,,138,549,214,14.7,23.6,13,W,ASTM,151
W 21X101,,150,543,312,12.7,20.3,13,W,ASTM,152
W 21X111,,165,546,313,14,22.2,13,W,ASTM,153
W 21X122,,182,551,315,15.2,24.4,13,W,ASTM,154
W 21X132,,196,554,316,16.5,26.3,13,W,ASTM,155
W 21X147,,219,560,318,18.3,29.2,13,W,ASTM,156
W 21X166,,248,571,315,19,34.5,13,W,ASTM,157
W 21X182,,272,577,317,21.1,37.6,13,W,ASTM,158
