name,kgm,h,b,tw,tf,r,profileCode,code,localIndex
UPE 80,7.9,80,50,4,7,10,UPE,EN10365,0
UPE 100,9.8,100,55,4.5,7.5,10,UPE,EN10365,1
UPE 120,12.1,120,60,5,8,12,UPE,EN10365,2
UPE 140,14.5,140,65,5,9,12,UPE,EN10365,3
UPE 160,17,160,70,5.5,9.5,12,UPE,EN10365,4
UPE 180,19.7,180,75,5.5,10.5,12,UPE,EN10365,5
UPE 200,22.8,200,80,6,11,13,UPE,EN10365,6
UPE 220,26.6,220,85,6.5,12,13,UPE,EN10365,7
UPE 240,30.2,240,90,7,12.5,15,UPE,EN10365,8
UPE 270,35.2,270,95,7.5,13.5,15,UPE,EN10365,9
UPE 300,44.4,300,100,9.5,15,15,UPE,EN10365,10
UPE 330,53.2,330,105,11,16,18,UPE,EN10365,11
UPE 360,61.2,360,110,12,17,18,UPE,EN10365,12
UPE 400,72.2,400,115,13.5,18,18,UPE,EN10365,13
PFC 100X50,10.2,100,50,5,8.5,9,PFC,EN10365,0
PFC 125X65,14.8,125,65,5.5,9.5,12,PFC,EN10365,1
PFC 150X75,17.9,150,75,5.5,10,12,PFC,EN10365,2
PFC 150X90,23.9,150,90,6.5,12,12,PFC,EN10365,3
PFC 180X75,20.3,180,75,6,10.5,12,PFC,EN10365,4
PFC 180X90,26.1,180,90,6.5,12.5,12,PFC,EN10365,5
PFC 200X75,23.4,200,75,6,12.5,12,PFC,EN10365,6
PFC 200X90,29.7,200,90,7,14,12,PFC,EN10365,7
PFC 230X75,25.7,230,75,6.5,12.5,12,PFC,EN10365,8
PFC 230X90,32.2,230,90,7.5,14,12,PFC,EN10365,9
PFC 260X75,27.6,260,75,7,12,12,PFC,EN10365,10
PFC 260X90,34.8,260,90,8,14,12,PFC,EN10365,11
PFC 300X90,41.4,300,90,9,15.5,12,PFC,EN10365,12
PFC 300X100,45.5,300,100,9,16.5,15,PFC,EN10365,13
PFC 380X100,54,380,100,9.5,17.5,15,PFC,EN10365,14
PFC 430X100,64.4,430,100,11,19,15,PFC,EN10365,15
U 100X50,9.1,100,50,4.5,7.5,8,PFC,KS D3502,16
U 125X65,13.1,125,65,5.5,8,8,PFC,KS D3502,17
U 150X75,18.2,150,75,6,10,10,PFC,KS D3502,18
U 200X80,24,200,80,6.5,11.5,12,PFC,KS D3502,19
U 200X90,29.9,200,90,7.5,13.5,14,PFC,KS D3502,20
U 250X90,34,250,90,8.5,13,14,PFC,KS D3502,21
U 300X90,37.3,300,90,8.5,13,14,PFC,KS D3502,22
U 380X100,53.5,380,100,10,16,18,PFC,KS D3502,23
75  PFC,5.9,75,40,3.8,6.1,8,PFC,AS 3679.2,24
100 PFC,8.3,100,50,4.2,6.7,8,PFC,AS 3679.2,25
125 PFC,11.9,125,65,4.7,7.5,8,PFC,AS 3679.2,26
150 PFC,17.7,150,75,6,9.5,10,PFC,AS 3679.2,27
180 PFC,20.9,180,75,6,11,12,PFC,AS 3679.2,28
200 PFC,22.9,200,75,6,12,12,PFC,AS 3679.2,29
230 PFC,25.1,230,75,6.5,12,12,PFC,AS 3679.2,30
250 PFC,35.5,250,90,8,15,12,PFC,AS 3679.2,31
300 PFC,40.1,300,90,8,16,14,PFC,AS 3679.2,32
380 PFC,55.2,380,100,10,17.5,14,PFC,AS 3679.2,33
UPN 40,2.7,40,20,4,5.5,5,UPN,EN10365,0
UPN 50,5.6,50,38,5,7,3.5,UPN,EN10365,1
UPN 65,7.1,65,42,5.5,7.5,4,UPN,EN10365,2
UPN 80,8.6,80,45,6,8,4,UPN,EN10365,3
UPN 100,10.6,100,50,6,8.5,4.5,UPN,EN10365,4
UPN 120,13.4,120,55,7,9,4.5,UPN,EN10365,5
UPN 140,16,140,60,7,10,5,UPN,EN10365,6
UPN 160,18.8,160,65,7.5,10.5,5.5,UPN,EN10365,7
UPN 180,22,180,70,8,11,5.5,UPN,EN10365,8
UPN 200,25.3,200,75,8.5,11.5,6,UPN,EN10365,9
UPN 220,29.4,220,80,9,12.5,6.5,UPN,EN10365,10
UPN 240,33.2,240,85,9.5,13,6.5,UPN,EN10365,11
UPN 260,37.9,260,90,10,14,7,UPN,EN10365,12
UPN 280,41.8,280,95,10,15,7.5,UPN,EN10365,13
UPN 300,46.2,300,100,10,16,8,UPN,EN10365,14
UPN 320,59.5,320,100,14,17.5,8.5,UPN,EN10365,15
UPN 350,60.6,350,100,14,16,8,UPN,EN10365,16
UPN 380,63.1,380,102,13.5,16,8,UPN,EN10365,17
UPN 400,71.8,400,110,14,18,9,UPN,EN10365,18
U 40X20X4,2.7,40,20,4,5.5,5,U,EN10365,0
U 40X20X5,2.9,40,20,5,5.5,5,U,EN10365,1
U 50X25X5,3.9,50,25,5,6,6,U,EN10365,2
U 60X30X6,5.1,60,30,6,6,6,U,EN10365,3
U 65X42X5.5,7.1,65,42,5.5,7.5,7.5,U,EN10365,4
C 3X3.5,5.2,76,35,3.4,6.9,0,C,ASTM,0
C 3X4.1,6.1,76,35,4.3,6.9,0,C,ASTM,1
C 3X5,7.4,76,37,6.6,6.9,0,C,ASTM,2
C 3X6,8.9,76,40,9,6.9,0,C,ASTM,3
C 4X4.5,6.7,102,40,3.2,7.5,0,C,ASTM,4
C 4X5.4,8,102,40,4.7,7.5,0,C,ASTM,5
C 4X6.25,9.3,102,42,6.3,6.9,0,C,ASTM,6
C 4X7.25,10.8,102,43,8.2,7.5,0,C,ASTM,7
C 5X6.7,10.4,127,44,4.8,8.1,0,C,ASTM,8
C 5X9,13,127,47,8.3,8.1,0,C,ASTM,9
C 6X8.2,12.2,152,48,5.1,8.7,0,C,ASTM,10
C 6X10.5,15.6,152,51,8,8.7,0,C,ASTM,11
C 6X13,19.3,152,54,11.1,8.7,0,C,ASTM,12
C 7X9.8,14.6,178,53,5.3,9.3,0,C,ASTM,13
C 7X12.25,18.2,178,55,8,9.3,0,C,ASTM,14
C 7X14.75,22,178,58,10.6,9.3,0,C,ASTM,15
C 8X11.5,17.1,203,57,5.6,9.9,0,C,ASTM,16
C 8X13.75,20.5,203,59,7.7,9.9,0,C,ASTM,17
C 8X18.75,27.9,203,64,12.4,9.9,0,C,ASTM,18
C 9X13.4,19.9,229,61,5.9,10.5,0,C,ASTM,19
C 9X15,22,229,63,7.2,10.5,0,C,ASTM,20
C 9X20,30,229,67,11.4,10.5,0,C,ASTM,21
C 10X15.3,22.8,254,65,6.1,11.1,0,C,ASTM,22
C 10X20,30,254,69,9.6,11.1,0,C,ASTM,23
C 10X25,37,254,73,13.4,11.1,0,C,ASTM,24
C 10X30,45,254,76,17.1,11.1,0,C,ASTM,25
C 12X20.7,30.8,305,74,7.2,12.7,0,C,ASTM,26
C 12X25,37,305,77,9.8,12.7,0,C,ASTM,27
C 12X30,45,305,80,13,12.7,0,C,ASTM,28
C 15X33.9,50.4,381,86,10.2,16.5,0,C,ASTM,29
C 15X40,60,381,89,13.2,16.5,0,C,ASTM,30
C 15X50,74,381,94,18.2,16.5,0,C,ASTM,31
MC 3X7.1,10.6,76,49,7.9,8.9,0,MC,ASTM,0
MC 4X13.8,20.5,102,64,13,13,0,MC,ASTM,1
MC 6X6.5,9.7,152,47,3.9,7.4,0,MC,ASTM,2
MC 6X7,10.4,152,48,4.5,7.4,0,MC,ASTM,3
MC 6X12,17.9,152,63,7.9,9.5,0,MC,ASTM,4
MC 6X15.1,22.5,152,74,8,12.1,0,MC,ASTM,5
MC 6X15.3,22.8,152,88,8.6,9.8,0,MC,ASTM,6
MC 6X16.3,24.3,152,76,9.5,12.1,0,MC,ASTM,7
MC 6X18,26.8,152,88,9.6,12.1,0,MC,ASTM,8
MC 7X19.1,28.4,178,87,8.9,12.7,0,MC,ASTM,9
MC 7X22.7,33.8,178,91,12.8,12.7,0,MC,ASTM,10
MC 8X8.5,12.6,203,47,4.5,7.9,0,MC,ASTM,11
MC 8X18.7,27.8,203,75,9,12.7,0,MC,ASTM,12
MC 8X20,29.8,203,76,10.2,12.7,0,MC,ASTM,13
MC 8X21.4,31.8,203,87,9.5,13.3,0,MC,ASTM,14
MC 8X22.8,33.9,203,88,10.8,13.3,0,MC,ASTM,15
MC 9X23.9,35.6,229,87,10.2,14,0,MC,ASTM,16
MC 9X25.4,37.8,229,88,11.4,14,0,MC,ASTM,17
MC 10X6.5,9.7,254,28,3.9,5.1,0,MC,ASTM,18
MC 10X8.4,12.5,254,38,4.3,7.1,0,MC,ASTM,19
MC 10X22,33,254,84,7.4,14.6,0,MC,ASTM,20
MC 10X25,37,254,86,9.7,14.6,0,MC,ASTM,21
MC 10X28.5,42.4,254,100,10.8,14.6,0,MC,ASTM,22
MC 10X33.6,50,254,104,14.6,14.6,0,MC,ASTM,23
MC 10X41.1,61.2,254,110,20.2,14.6,0,MC,ASTM,24
MC 12X10.6,15.8,305,38,4.8,7.8,0,MC,ASTM,25
MC 12X14.3,21.3,305,54,6.4,8,0,MC,ASTM,26
MC 12X31,46,305,93,9.4,17.8,0,MC,ASTM,27
MC 12X35,52,305,96,11.8,17.8,0,MC,ASTM,28
MC 12X40,60,305,98,15,17.8,0,MC,ASTM,29
MC 12X45,67,305,102,18,17.8,0,MC,ASTM,30
MC 12X50,74,305,105,21.2,17.8,0,MC,ASTM,31
MC 13X31.8,47.3,330,102,9.5,15.5,0,MC,ASTM,32
MC 13X35,52,330,103,11.4,15.5,0,MC,ASTM,33
MC 13X40,60,330,106,14.2,15.5,0,MC,ASTM,34
MC 13X50,74,330,112,20,15.5,0,MC,ASTM,35
MC 18X42.7,63.5,457,100,11.4,15.9,0,MC,ASTM,36
MC 18X45.8,68.2,457,102,12.7,15.9,0,MC,ASTM,37
MC 18X51.9,77.2,457,104,15.2,15.9,0,MC,ASTM,38
MC 18X58,86,457,107,17.8,15.9,0,MC,ASTM,39
CH 76X38X7,6.7,76.2,38.1,5.1,6.8,12,CH,EN10365,0
CH 102X51X10,10.4,101.6,50.8,6.1,7.6,12,CH,EN10365,1
CH 127X64X15,14.9,127,63.5,6.4,9.2,13,CH,EN10365,2
CH 152X76X18,17.9,152.4,76.2,6.4,9,14,CH,EN10365,3
CH 152X89X24,23.9,152.4,88.9,7.1,11.6,16,CH,EN10365,4
CH 178X76X21,20.8,177.8,76.2,6.6,10.3,16,CH,EN10365,5
CH 178X89X27,26.8,177.8,88.9,7.6,12.3,17,CH,EN10365,6
CH 203X76X24,23.9,203.2,76.2,7.1,11.2,17,CH,EN10365,7
CH 203X89X30,29.8,203.2,88.9,8.1,12.9,17.5,CH,EN10365,8
CH 229X76X26,26.1,228.6,76.2,7.6,11.2,17.5,CH,EN10365,9
CH 229X89X33,32.7,228.6,88.9,8.6,13.3,19,CH,EN10365,10
CH 254X76X28,28.2,254,76.2,8.1,10.9,19,CH,EN10365,11
CH 254X89X36,35.7,254,88.9,9.1,13.6,20.4,CH,EN10365,12
CH 305X89X42,41.8,304.8,88.9,10.2,13.7,25.7,CH,EN10365,13
CH 305X102X46,46.2,304.8,101.6,10.2,14.8,26.7,CH,EN10365,14
CH 381X102X55,55,381,101.6,10.4,16.3,28.2,CH,EN10365,15
CH 432X102X65,65.5,431.8,101.6,12.2,16.8,24,CH,EN10365,16
CN 75X40,6.92,75,40,5,7,8,CN,JIS G 3192,0
CN 100X50X5,9.36,100,50,5,7.5,8,CN,JIS G 3192,1
CN 125X65X6,13.4,125,65,6,8,8,CN,JIS G 3192,2
CN 150X75X6.5,18.6,150,75,6.5,10,10,CN,JIS G 3192,3
CN 150X75X9,24,150,75,9,12.5,15,CN,JIS G 3192,4
CN 180X75X7,21.4,180,75,7,10.5,11,CN,JIS G 3192,5
CN 200X80X7.5,24.6,200,80,7.5,11,12,CN,JIS G 3192,6
CN 200X90X8,30.3,200,90,8,13.5,14,CN,JIS G 3192,7
CN 250X90X9,34.6,250,90,9,13,14,CN,JIS G 3192,8
CN 250X90X11,40.2,250,90,11,14.5,17,CN,JIS G 3192,9
CN 300X90X9,38.1,300,90,9,13,14,CN,JIS G 3192,10
CN 300X90X10,43.8,300,90,10,15.5,19,CN,JIS G 3192,11
CN 300X90X12,48.6,300,90,12,16,19,CN,JIS G 3192,12
CN 380X100X10.5,54.5,380,100,10.5,16,18,CN,JIS G 3192,13
CN 380X100X13,62,380,100,13,16.5,18,CN,JIS G 3192,14
CN 380X100X13,67.3,380,100,13,20,24,CN,JIS G 3192,15
CH 80X8,8.23,80,45,5.5,7.5,8,TFC,JIS G 3192,0
CH 100X10,10.3,100,50,5.9,8,8,TFC,JIS G 3192,1
CH 120X12,12.5,120,55,6.3,8.5,8,TFC,JIS G 3192,2
CH 140X15,15,140,60,6.7,9,9,TFC,JIS G 3192,3
CH 160X18,18.2,160,65,7.2,10,9,TFC,JIS G 3192,4
CH 180X21,21.3,180,70,7.7,10.5,10,TFC,JIS G 3192,5
CH 200X25,25.2,200,75,8.2,11.5,12,TFC,JIS G 3192,6
CH 220X29,28.7,220,80,8.7,12,12,TFC,JIS G 3192,7
CH 250X34,33.9,250,85,9.2,13,13.5,TFC,JIS G 3192,8
CH 300X45,45.2,300,100,10,15,15,TFC,JIS G 3192,9
CH 350X52,51.8,350,100,10.5,16,16,TFC,JIS G 3192,10
CH 400X59,58.9,400,100,11,17,17,TFC,JIS G 3192,11
